,Atributo,label da classe predita pelo modelo em INFERÊNCIA,índice da classe predita pelo modelo em modo de INFERÊNCIA,predição do modelo em TREINAMENTO para a classe predita pelo modelo em INFERÊNCIA,label da classe predita pelo modelo em TREINAMENTO,model
35,age,adult,0,0.9427328109741211,adult,mac_hybrid_200_2048_1e-05
36,hair_type,straight,2,0.9770240187644958,straight,mac_hybrid_200_2048_1e-05
37,hair_color,black,0,0.9995019435882568,black,mac_hybrid_200_2048_1e-05
38,eye_color,black,1,0.9980319142341614,black,mac_hybrid_200_2048_1e-05
39,monk_scale,scale 9,9,0.9673676490783691,scale 9,mac_hybrid_200_2048_1e-05
40,fitz_type,type vi,5,0.9933241009712219,type vi,mac_hybrid_200_2048_1e-05
41,male,1,1,0.9976477,0,mac_hybrid_200_2048_1e-05
42,age,adult,0,0.9988070726394653,adult,mac_hybrid_200_2048_1e-05
43,hair_type,straight,2,0.9884970188140869,straight,mac_hybrid_200_2048_1e-05
44,hair_color,black,0,0.9999152421951294,black,mac_hybrid_200_2048_1e-05
45,eye_color,black,1,0.9990898370742798,black,mac_hybrid_200_2048_1e-05
46,monk_scale,scale 9,9,0.6165526509284973,scale 9,mac_hybrid_200_2048_1e-05
47,fitz_type,type vi,5,0.9761767387390137,type vi,mac_hybrid_200_2048_1e-05
48,male,1,1,0.9997047,0,mac_hybrid_200_2048_1e-05
49,age,adult,0,0.1270059049129486,young adult,mac_hybrid_200_2048_1e-05
50,hair_type,straight,2,0.9834164381027222,straight,mac_hybrid_200_2048_1e-05
51,hair_color,black,0,0.9996441602706909,black,mac_hybrid_200_2048_1e-05
52,eye_color,black,1,0.9990704655647278,black,mac_hybrid_200_2048_1e-05
53,monk_scale,scale 9,9,0.5326703786849976,scale 9,mac_hybrid_200_2048_1e-05
54,fitz_type,type vi,5,0.999743640422821,type vi,mac_hybrid_200_2048_1e-05
55,male,1,1,0.9999761,0,mac_hybrid_200_2048_1e-05
56,age,adult,0,0.8646157383918762,adult,mac_hybrid_200_2048_1e-05
57,hair_type,straight,2,0.9016076326370239,straight,mac_hybrid_200_2048_1e-05
58,hair_color,black,0,0.9999293088912964,black,mac_hybrid_200_2048_1e-05
59,eye_color,black,1,0.9999059438705444,black,mac_hybrid_200_2048_1e-05
60,monk_scale,scale 9,9,0.9261307716369629,scale 9,mac_hybrid_200_2048_1e-05
61,fitz_type,type vi,5,0.9959648847579956,type vi,mac_hybrid_200_2048_1e-05
62,male,1,1,0.9999745,0,mac_hybrid_200_2048_1e-05
63,age,adult,0,0.9822922945022583,adult,mac_hybrid_200_2048_1e-05
64,hair_type,straight,2,0.9984832406044006,straight,mac_hybrid_200_2048_1e-05
65,hair_color,black,0,0.9997667670249939,black,mac_hybrid_200_2048_1e-05
66,eye_color,black,1,0.9996553659439087,black,mac_hybrid_200_2048_1e-05
67,monk_scale,scale 9,9,0.26332128047943115,scale 8,mac_hybrid_200_2048_1e-05
68,fitz_type,type vi,5,0.9996833801269531,type vi,mac_hybrid_200_2048_1e-05
69,male,1,1,0.99999744,0,mac_hybrid_200_2048_1e-05
70,age,adult,0,0.590592086315155,adult,mac_hybrid_200_2048_1e-05
71,hair_type,straight,2,0.9919468760490417,straight,mac_hybrid_200_2048_1e-05
72,hair_color,black,0,0.9999791383743286,black,mac_hybrid_200_2048_1e-05
73,eye_color,black,1,0.9998181462287903,black,mac_hybrid_200_2048_1e-05
74,monk_scale,scale 9,9,0.9510253071784973,scale 9,mac_hybrid_200_2048_1e-05
75,fitz_type,type vi,5,0.9957911968231201,type vi,mac_hybrid_200_2048_1e-05
76,male,1,1,0.9998139,0,mac_hybrid_200_2048_1e-05
77,age,adult,0,0.954851508140564,adult,mac_hybrid_200_2048_1e-05
78,hair_type,straight,2,0.9874048829078674,straight,mac_hybrid_200_2048_1e-05
79,hair_color,black,0,0.9997099041938782,black,mac_hybrid_200_2048_1e-05
80,eye_color,black,1,0.9999092817306519,black,mac_hybrid_200_2048_1e-05
81,monk_scale,scale 9,9,0.9140880703926086,scale 9,mac_hybrid_200_2048_1e-05
82,fitz_type,type vi,5,0.9892409443855286,type vi,mac_hybrid_200_2048_1e-05
83,male,1,1,0.9999954,0,mac_hybrid_200_2048_1e-05
84,age,adult,0,0.946061372756958,adult,mac_hybrid_200_2048_1e-05
85,hair_type,straight,2,0.9620802998542786,straight,mac_hybrid_200_2048_1e-05
86,hair_color,black,0,0.9999842643737793,black,mac_hybrid_200_2048_1e-05
87,eye_color,black,1,0.9987640380859375,black,mac_hybrid_200_2048_1e-05
88,monk_scale,scale 9,9,0.8439741134643555,scale 9,mac_hybrid_200_2048_1e-05
89,fitz_type,type vi,5,0.9989176988601685,type vi,mac_hybrid_200_2048_1e-05
90,male,1,1,0.9999908,0,mac_hybrid_200_2048_1e-05
91,age,adult,0,0.8717858195304871,adult,mac_hybrid_200_2048_1e-05
92,hair_type,straight,2,0.9541568160057068,straight,mac_hybrid_200_2048_1e-05
93,hair_color,black,0,0.9997946619987488,black,mac_hybrid_200_2048_1e-05
94,eye_color,black,1,0.9651033878326416,black,mac_hybrid_200_2048_1e-05
95,monk_scale,scale 9,9,0.6744213700294495,scale 9,mac_hybrid_200_2048_1e-05
96,fitz_type,type vi,5,0.9907537698745728,type vi,mac_hybrid_200_2048_1e-05
97,male,1,1,0.9999434,0,mac_hybrid_200_2048_1e-05
98,age,adult,0,0.8771410584449768,adult,mac_hybrid_200_2048_1e-05
99,hair_type,straight,2,0.9994906187057495,straight,mac_hybrid_200_2048_1e-05
100,hair_color,black,0,0.999969482421875,black,mac_hybrid_200_2048_1e-05
101,eye_color,black,1,0.9999896287918091,black,mac_hybrid_200_2048_1e-05
102,monk_scale,scale 9,9,0.2799006402492523,scale 8,mac_hybrid_200_2048_1e-05
103,fitz_type,type vi,5,0.9997023940086365,type vi,mac_hybrid_200_2048_1e-05
104,male,1,1,0.9999871,0,mac_hybrid_200_2048_1e-05
105,age,adult,0,0.8434138298034668,adult,mac_hybrid_200_2048_1e-05
106,hair_type,straight,2,0.9991546869277954,straight,mac_hybrid_200_2048_1e-05
107,hair_color,black,0,0.9999597072601318,black,mac_hybrid_200_2048_1e-05
108,eye_color,black,1,0.9983692765235901,black,mac_hybrid_200_2048_1e-05
109,monk_scale,scale 9,9,0.8796513676643372,scale 9,mac_hybrid_200_2048_1e-05
110,fitz_type,type vi,5,0.9866079092025757,type vi,mac_hybrid_200_2048_1e-05
111,male,1,1,0.99998075,0,mac_hybrid_200_2048_1e-05
112,age,adult,0,0.9911079406738281,adult,mac_hybrid_200_2048_1e-05
113,hair_type,straight,2,0.9929138422012329,straight,mac_hybrid_200_2048_1e-05
114,hair_color,black,0,0.9939584732055664,black,mac_hybrid_200_2048_1e-05
115,eye_color,black,1,0.9664080142974854,black,mac_hybrid_200_2048_1e-05
116,monk_scale,scale 9,9,0.5844510793685913,scale 9,mac_hybrid_200_2048_1e-05
117,fitz_type,type vi,5,0.9992951154708862,type vi,mac_hybrid_200_2048_1e-05
118,male,1,1,0.9999716,0,mac_hybrid_200_2048_1e-05
119,age,adult,0,0.9256272315979004,adult,mac_hybrid_200_2048_1e-05
120,hair_type,straight,2,0.9598580002784729,straight,mac_hybrid_200_2048_1e-05
121,hair_color,black,0,0.9994441866874695,black,mac_hybrid_200_2048_1e-05
122,eye_color,black,1,0.9983426332473755,black,mac_hybrid_200_2048_1e-05
123,monk_scale,scale 9,9,0.23233243823051453,scale 8,mac_hybrid_200_2048_1e-05
124,fitz_type,type vi,5,0.9807084202766418,type vi,mac_hybrid_200_2048_1e-05
125,male,1,1,0.999987,0,mac_hybrid_200_2048_1e-05
126,age,adult,0,0.3289823830127716,young adult,mac_hybrid_200_2048_1e-05
127,hair_type,straight,2,0.9416961073875427,straight,mac_hybrid_200_2048_1e-05
128,hair_color,black,0,0.999924898147583,black,mac_hybrid_200_2048_1e-05
129,eye_color,black,1,0.9998630285263062,black,mac_hybrid_200_2048_1e-05
130,monk_scale,scale 9,9,0.9382758140563965,scale 9,mac_hybrid_200_2048_1e-05
131,fitz_type,type vi,5,0.8192675113677979,type vi,mac_hybrid_200_2048_1e-05
132,male,1,1,0.99977255,0,mac_hybrid_200_2048_1e-05
133,age,adult,0,0.9983185529708862,adult,mac_hybrid_200_2048_1e-05
134,hair_type,straight,2,0.9883285760879517,straight,mac_hybrid_200_2048_1e-05
135,hair_color,black,0,0.9983312487602234,black,mac_hybrid_200_2048_1e-05
136,eye_color,black,1,0.999439537525177,black,mac_hybrid_200_2048_1e-05
137,monk_scale,scale 9,9,0.06197820231318474,scale 8,mac_hybrid_200_2048_1e-05
138,fitz_type,type vi,5,0.996264636516571,type vi,mac_hybrid_200_2048_1e-05
139,male,1,1,0.9999645,0,mac_hybrid_200_2048_1e-05
140,age,adult,0,0.9981375932693481,adult,mac_hybrid_200_2048_1e-05
141,hair_type,straight,2,0.9977128505706787,straight,mac_hybrid_200_2048_1e-05
142,hair_color,black,0,0.9986080527305603,black,mac_hybrid_200_2048_1e-05
143,eye_color,black,1,0.9984070658683777,black,mac_hybrid_200_2048_1e-05
144,monk_scale,scale 9,9,0.8558399677276611,scale 9,mac_hybrid_200_2048_1e-05
145,fitz_type,type vi,5,0.9137300848960876,type vi,mac_hybrid_200_2048_1e-05
146,male,1,1,0.9999609,0,mac_hybrid_200_2048_1e-05
147,age,adult,0,0.32523801922798157,young adult,mac_hybrid_200_2048_1e-05
148,hair_type,straight,2,0.9916270971298218,straight,mac_hybrid_200_2048_1e-05
149,hair_color,black,0,0.9995083808898926,black,mac_hybrid_200_2048_1e-05
150,eye_color,black,1,0.9939583539962769,black,mac_hybrid_200_2048_1e-05
151,monk_scale,scale 9,9,0.4661984145641327,scale 8,mac_hybrid_200_2048_1e-05
152,fitz_type,type vi,5,0.9906855225563049,type vi,mac_hybrid_200_2048_1e-05
153,male,1,1,0.99999714,0,mac_hybrid_200_2048_1e-05
154,age,adult,0,0.9998151659965515,adult,mac_hybrid_200_2048_1e-05
155,hair_type,straight,2,0.9930832386016846,straight,mac_hybrid_200_2048_1e-05
156,hair_color,black,0,0.9999005794525146,black,mac_hybrid_200_2048_1e-05
157,eye_color,black,1,0.999840259552002,black,mac_hybrid_200_2048_1e-05
158,monk_scale,scale 9,9,0.936750054359436,scale 9,mac_hybrid_200_2048_1e-05
159,fitz_type,type vi,5,0.9493720531463623,type vi,mac_hybrid_200_2048_1e-05
160,male,1,1,0.99998087,0,mac_hybrid_200_2048_1e-05
161,age,adult,0,0.9855809807777405,adult,mac_hybrid_200_2048_1e-05
162,hair_type,straight,2,0.7503699660301208,straight,mac_hybrid_200_2048_1e-05
163,hair_color,black,0,0.9999109506607056,black,mac_hybrid_200_2048_1e-05
164,eye_color,black,1,0.9989727735519409,black,mac_hybrid_200_2048_1e-05
165,monk_scale,scale 9,9,0.6886444091796875,scale 9,mac_hybrid_200_2048_1e-05
166,fitz_type,type vi,5,0.9643731713294983,type vi,mac_hybrid_200_2048_1e-05
167,male,1,1,0.99989873,0,mac_hybrid_200_2048_1e-05
168,age,adult,0,0.9940598011016846,adult,mac_hybrid_200_2048_1e-05
169,hair_type,straight,2,0.9952237010002136,straight,mac_hybrid_200_2048_1e-05
170,hair_color,black,0,0.9999421834945679,black,mac_hybrid_200_2048_1e-05
171,eye_color,black,1,0.9999244213104248,black,mac_hybrid_200_2048_1e-05
172,monk_scale,scale 9,9,0.9555624723434448,scale 9,mac_hybrid_200_2048_1e-05
173,fitz_type,type vi,5,0.9961755275726318,type vi,mac_hybrid_200_2048_1e-05
174,male,1,1,0.99999577,0,mac_hybrid_200_2048_1e-05
175,age,adult,0,0.9205245971679688,adult,mac_hybrid_200_2048_1e-05
176,hair_type,straight,2,0.8195506930351257,straight,mac_hybrid_200_2048_1e-05
177,hair_color,black,0,0.9999693632125854,black,mac_hybrid_200_2048_1e-05
178,eye_color,black,1,0.9999730587005615,black,mac_hybrid_200_2048_1e-05
179,monk_scale,scale 9,9,0.29114672541618347,scale 8,mac_hybrid_200_2048_1e-05
180,fitz_type,type vi,5,0.9984532594680786,type vi,mac_hybrid_200_2048_1e-05
181,male,1,1,0.9999918,0,mac_hybrid_200_2048_1e-05
182,age,adult,0,0.8538692593574524,adult,mac_hybrid_200_2048_1e-05
183,hair_type,straight,2,0.977360725402832,straight,mac_hybrid_200_2048_1e-05
184,hair_color,black,0,0.9999076128005981,black,mac_hybrid_200_2048_1e-05
185,eye_color,black,1,0.999906063079834,black,mac_hybrid_200_2048_1e-05
186,monk_scale,scale 9,9,0.4059959650039673,scale 8,mac_hybrid_200_2048_1e-05
187,fitz_type,type vi,5,0.6653152704238892,type vi,mac_hybrid_200_2048_1e-05
188,male,1,1,0.99998623,0,mac_hybrid_200_2048_1e-05
189,age,adult,0,0.808051347732544,adult,mac_hybrid_200_2048_1e-05
190,hair_type,straight,2,0.9272804260253906,straight,mac_hybrid_200_2048_1e-05
191,hair_color,black,0,0.9997212290763855,black,mac_hybrid_200_2048_1e-05
