,Atributo,label da classe predita pelo modelo em INFERÊNCIA,índice da classe predita pelo modelo em modo de INFERÊNCIA,predição do modelo em TREINAMENTO para a classe predita pelo modelo em INFERÊNCIA,label da classe predita pelo modelo em TREINAMENTO,model
586,fitz_type,type iv,3,0.7997813,type iv,mac_hybrid_200_2048_1e-05
587,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
588,age,adult,0,0.99739206,adult,mac_hybrid_200_2048_1e-05
589,hair_type,curly,1,0.025705244,straight,mac_hybrid_200_2048_1e-05
590,hair_color,black,0,0.9896052,black,mac_hybrid_200_2048_1e-05
591,eye_color,black,1,0.993258,black,mac_hybrid_200_2048_1e-05
592,monk_scale,scale 5,5,0.21647862,scale 7,mac_hybrid_200_2048_1e-05
593,fitz_type,type iv,3,0.9684368,type iv,mac_hybrid_200_2048_1e-05
594,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
595,age,adult,0,0.9996026,adult,mac_hybrid_200_2048_1e-05
596,hair_type,curly,1,0.016172381,straight,mac_hybrid_200_2048_1e-05
597,hair_color,black,0,0.9990502,black,mac_hybrid_200_2048_1e-05
598,eye_color,black,1,0.31531033,brown,mac_hybrid_200_2048_1e-05
599,monk_scale,scale 5,5,0.78118634,scale 5,mac_hybrid_200_2048_1e-05
600,fitz_type,type iv,3,0.99923325,type iv,mac_hybrid_200_2048_1e-05
601,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
602,age,adult,0,0.99901843,adult,mac_hybrid_200_2048_1e-05
603,hair_type,curly,1,0.10260181,straight,mac_hybrid_200_2048_1e-05
604,hair_color,black,0,0.99760747,black,mac_hybrid_200_2048_1e-05
605,eye_color,black,1,0.90999144,black,mac_hybrid_200_2048_1e-05
606,monk_scale,scale 5,5,0.35260838,scale 7,mac_hybrid_200_2048_1e-05
607,fitz_type,type iv,3,0.9166448,type iv,mac_hybrid_200_2048_1e-05
608,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
609,age,adult,0,0.99838376,adult,mac_hybrid_200_2048_1e-05
610,hair_type,curly,1,0.66764337,curly,mac_hybrid_200_2048_1e-05
611,hair_color,black,0,0.997024,black,mac_hybrid_200_2048_1e-05
612,eye_color,black,1,0.8842485,black,mac_hybrid_200_2048_1e-05
613,monk_scale,scale 5,5,0.5821012,scale 5,mac_hybrid_200_2048_1e-05
